IDs,Sub_ID,Extension,Baitset
TCGA-3N-A9WB-06,TCGA-3N-A9WB,6,Agilent Custom
TCGA-3N-A9WC-06,TCGA-3N-A9WC,6,Agilent Custom
TCGA-3N-A9WD-06,TCGA-3N-A9WD,6,Agilent Custom
TCGA-D3-A1Q3-06,TCGA-D3-A1Q3,6,Agilent Custom
TCGA-D3-A1Q5-06,TCGA-D3-A1Q5,6,Agilent Custom
TCGA-D3-A1Q6-06,TCGA-D3-A1Q6,6,Agilent Custom
TCGA-D3-A1Q8-06,TCGA-D3-A1Q8,6,Agilent Custom
TCGA-D3-A2J6-06,TCGA-D3-A2J6,6,Agilent Custom
TCGA-D3-A2J7-06,TCGA-D3-A2J7,6,Agilent Custom
TCGA-D3-A2J8-06,TCGA-D3-A2J8,6,Agilent Custom
TCGA-D3-A2J9-06,TCGA-D3-A2J9,6,Agilent Custom
TCGA-D3-A2JA-06,TCGA-D3-A2JA,6,Agilent Custom
TCGA-D3-A2JD-06,TCGA-D3-A2JD,6,Agilent Custom
TCGA-D3-A2JF-06,TCGA-D3-A2JF,6,Agilent Custom
TCGA-D3-A2JH-06,TCGA-D3-A2JH,6,Agilent Custom
TCGA-D3-A2JK-06,TCGA-D3-A2JK,6,Agilent Custom
TCGA-D3-A2JP-06,TCGA-D3-A2JP,6,Agilent Custom
TCGA-D3-A3BZ-06,TCGA-D3-A3BZ,6,Agilent Custom
TCGA-D3-A3CB-06,TCGA-D3-A3CB,6,Agilent Custom
TCGA-D3-A3ML-06,TCGA-D3-A3ML,6,Agilent Custom
TCGA-D3-A3MO-06,TCGA-D3-A3MO,6,Agilent Custom
TCGA-D3-A3MR-06,TCGA-D3-A3MR,6,Agilent Custom
TCGA-D3-A3MU-06,TCGA-D3-A3MU,6,Agilent Custom
TCGA-D3-A51F-06,TCGA-D3-A51F,6,Agilent Custom
TCGA-D3-A51G-06,TCGA-D3-A51G,6,Agilent Custom
TCGA-D3-A51J-06,TCGA-D3-A51J,6,Agilent Custom
TCGA-D3-A51K-06,TCGA-D3-A51K,6,Agilent Custom
TCGA-D3-A51R-06,TCGA-D3-A51R,6,Agilent Custom
TCGA-D3-A5GL-06,TCGA-D3-A5GL,6,Agilent Custom
TCGA-D3-A5GO-06,TCGA-D3-A5GO,6,Agilent Custom
TCGA-D3-A5GS-06,TCGA-D3-A5GS,6,Agilent Custom
TCGA-D3-A5GU-06,TCGA-D3-A5GU,6,Agilent Custom
TCGA-D3-A8GB-06,TCGA-D3-A8GB,6,Agilent Custom
TCGA-D3-A8GC-06,TCGA-D3-A8GC,6,Agilent Custom
TCGA-D3-A8GI-06,TCGA-D3-A8GI,6,Agilent Custom
TCGA-D3-A8GJ-06,TCGA-D3-A8GJ,6,Agilent Custom
TCGA-D3-A8GK-06,TCGA-D3-A8GK,6,Agilent Custom
TCGA-D3-A8GL-06,TCGA-D3-A8GL,6,Agilent Custom
TCGA-D3-A8GM-06,TCGA-D3-A8GM,6,Agilent Custom
TCGA-D3-A8GP-06,TCGA-D3-A8GP,6,Agilent Custom
TCGA-D3-A8GQ-06,TCGA-D3-A8GQ,6,Agilent Custom
TCGA-D3-A8GS-06,TCGA-D3-A8GS,6,Agilent Custom
TCGA-D3-A8GV-06,TCGA-D3-A8GV,6,Agilent Custom
